fundstrat
SatoshiLite
aantonop
NickSzabo4
VitalikButerin
adam3us
ErikVoorhees
peterktodd
zooko
gavinandresen
starkness
TuurDemeester
lopp
balajis
SatoshiLite
brian_armstrong
barrysilbert
el33th4xor
pmarca
naval
jgarzik
rogerkver
orionwl
pwuille
twobitidiot
FEhrsam
VladZamfir
TheBlueMatt
Melt_Dem
jonmatonis
jimmysong
msantoriESQ
cdixon
fredwilson
laurashin
eric_lombrozo
Excellion
kyletorpey
bendavenport
cburniske
roasbeef
WhalePanda
AaronvanW
CharlieShrem
matthew_d_green
socrates1024
VinnyLingham
AriDavidPaul
ethereumJoseph
NeerajKA
jerrybrito
wences
brucefenton
eiaine
bramcohen
fluffypony
morcosa
SDLerner
gavofyork
oleganza
slushcz
virtuallylaw
mikejcasey
JihanWu
ryaneshea
niccary
neha
brianchoffman
valkenburgh
ChristopherA
_jonasschnelli_
prestonjbyrne
ToneVays
CremeDeLaCrypto
LukeDashjr
Truthcoin
btcdrak
AmberBaldet
ryanxcharles
muneeb
paulvigna
juanbenet
AriannaSimpson
alansilbert
maraoz
dan_pantera
brockpierce
nathanielpopper
austinhill
nejc_kodric
francispouliot_
bobbyclee
jcp
MrChrisEllis
alistairmilne
giacomozucco
tdryja
martindale
MarcHochstein
OneMorePeter
tylerwinklevoss
maxkeiser
nntaleb
TraceMayer
bhorowitz
simondlr
ljxie
iam_preethi
ofnumbers
_jillruth
IOHK_Charles
DanDarkPill
joeykrug
diiorioanthony
JeremyRubin
mir_btc
adamludwin
pamelawjd
NTmoney
pierre_rochard
PerianneDC
sysmannet
bitcoinmom
MatthewRoszak
AlyseKilleen
AlenaSatoshi
rusty_twit
kanzure
woonomic
Snyke
leashless
spair
avsa
nic__carter
lightcoin
alexbosworth
wmougayar
victoriavaneyk
jony_levin
desantis
Joi
BitfuryGeorge
jfnewbery
random_walker
jerallaire
pete_rizzo_
winklevoss
bitstein
ummjackson
saifedean
iang_fc
nvk
JackMallers
joonian
TimDraper
kristovatlas
udiWertheimer
novogratz
bcrypt
LarryBitcoin
phildaian
gendal
acityinohio
La__Cuen
koeppelmann
mikebelshe
cz_binance
SunnyStartups
SkyCorridors
hrdng
_Kevin_Pham
iamjosephyoung
AdamDraper
satofishi
BobSummerwill
MihaiAlisie
BitcoinErrorLog
hudsonjameson
Disruptepreneur
OverstockCEO
johnsonlau01
WayneVaughan
chamath
jespow
danheld
jeffehh
NicolasDorier
zmanian
jutta_steiner
e_rossiello
Technom4ge
GeorgeAHallam
timoncc
TonyGallippi
Ethan_Heilman
stephantual
billbarhydt
derose
AmirPolyteknik
dakami
polemitis
ioptio
Steven_McKie
tayvano_
MrHodl
ricburton
KyleSamani
ConsenSysAndrew
dominic_w
cryptograffiti
trentmc0
murchandamus
dieguito
DanielKrawisz
ChrisLundkvist
feindura
APompliano
coin_artist
theonevortex
drwasho
albertwenger
timpastoor
Falkvinge
BrendanEich
jmonegro
ArthurB
karl_dot_tech
bergealex4
etmccauley
alpacasw
katie_haun
jeffreyatucker
crainbf
james_hilliard
wheatpond
breitwoman
BKBrianKelly
sytaylor
JohnLilic
BLR13
vessenes
dwr
buchmanster
DavidSacks
2drewlee
notgrubles
CryptoCobain
AnselLindner
tedmrogers
BashCo_
DelRayMan
conniegallippi
JuanLlanos
ChandlerGuo
paullinator
zaoyang
Radomysisky
keonne
Ragnarly
deseventral
santisiri
olivierjanss
MeherRoy
arcalinea
SHodyEsq
angela_walch
LaurentMT
Datavetaren
real_vijay
Beautyon_
parabolictrav
jinglanW
patrickc
yaoeo
ziggamon
MagicalTux
GamerAndy
wtogami
TheScottRob
pavolrusnak
TaylorGerring
Catheryne_N
stacyherbert
taariqlewis
a_greenberg
waxwing__
CaitlinLong_
evan_van_ness
BitcoinBlake
Suitpossum
LefterisJP
nopara73
StopAndDecrypt
danielcawrey
jbrukh
willwarren89
shaolinfry
giancarloCFTC
dtapscott
mikeinspace
peter_szilagyi
bramanathan
